"PlayerID","Runs","meanReadingTime","firstWin","bestRun","bestScore"
"03375d62b58b2cf2907d2864c30504e425157305",1,5.7,1,1,3
"06436b3ec82810d02f6150494d29370539218faf",1,7.3,1,1,2
"0667bfa6c5be46c33278956fcca55a56c1e52ad0",1,5.9,1,1,2
"096A9618-3F1E-57D0-BC20-6049A0111E6C",2,9.92857142857143,2,2,1
"09b7c0ebf2c435bf6d6733c7146487ec574cbd70",3,9.41379310344828,2,2,1
"0C9A4EAD-78C0-5E70-B1F4-1BEF4E378D9B",3,6.80952380952381,3,3,2
"0f6fee37b2238fa334830436a49bc1017f0d0fa6",2,8.5,2,2,3
"184e84a2688b9ef2011936f165118aca6f32d7fc",9,7.91463414634146,3,3,3
"18ed240378547eda9364da02694cf09a1f902a32",9,NA,1,2,3
"19b45ed24e197b551e21b32d04a15a50e69b7c87",3,6.14285714285714,3,3,1
"1aecd45bcefa9bf2594883622966a1effb329878",1,11,1,1,2
"1f3595f34518e72c0132799f7fc6d7223a4bfe98",2,5.75,1,1,1
"226a8a095a9b0c5a6527c198471b92d746931122",2,13.6,NA,1,0
"28e22a9dbf6f398e632ee02bd0a7c689a547f65a",1,17,1,1,2
"2a43919409fc74970a1109e199ea63cb06cf7d4c",2,7,NA,1,0
"2a7f009ec999310fa11ccbd7baa1083fbd8bdcca",7,5.5,6,7,3
"2d6b47231597d014a70542335431279023cae3c5",4,10.5,4,4,2
"2D86BD0B-A9F6-556B-AD6C-FD2C1D4A86EF",1,7.3,1,1,2
"2deb48889247528d5d8445ba9f52b90c3ad826d8",2,7.55,2,2,2
"32008b77f3403292e39abbedbd127670974b3ef0",8,NA,1,2,3
"32D1B3F6-095C-5C69-BF6C-42E4179A5CF4",1,11.7,1,1,1
"3374fc8a42d94f2597b677df1bedc251",2,8.10526315789474,2,2,1
"3386DFE8-2319-5000-B94C-86BCF7272649",1,5.7,1,1,3
"343114ac4224a5f9b59025e43fbd4a9a360585be",1,9.1,1,1,3
"37d554ed594493056ed447307ab4704433c2635f",1,6.9,1,1,3
"3a62419ac664fac8773a985d6d535913a079e9d4",1,10.9,1,1,1
"3adb8a2e64f01975bb5884cc25fcf5cbf12dff1a",6,2.7037037037037,1,6,3
"3ca2ed2094d2478aa62e4ee196d0897d",1,23.1,1,1,1
"3f5ba6b863d955f89bbe228fd4999270a7f7e146",2,28.7777777777778,NA,1,0
"441534b273f795ccefc1f10eebf2f72d52836e9c",3,8.04,3,3,1
"47f0a2f58c00d49ca2ff527df1a8d43adc7ff9ff",1,10.6,1,1,2
"4a03293c9a25ea8c0e9181a6d507e809a1a75800",3,16.1304347826087,3,3,3
"50fca552b07ba506a7140b2899f83b8c816b02e7",2,10.4117647058824,2,2,1
"5376f74bad33ab04abd5736d8535dfa57c860fef",24,4.23144104803493,1,3,3
"54baa125f25554e0bbdf2e8cc2bdb846b2de5c0a",2,NA,2,2,1
"54d7be8b43b3dc78ff8131cdba4cb8d03221af47",2,18.2,1,1,2
"56c1ebcc1358ad36fe6adf612a62843efd29944d",2,6.77777777777778,2,2,2
"5D4C5751-8EF6-5E63-9E2E-3F3251CC7EAD",1,11.5,1,1,2
"5eb41c2765f24aa8b06140b5b2d456ca",3,10.3913043478261,3,3,1
"5edbada75f2ebbf8e21840c5ace79182b9fd3b8b",4,6.65,2,4,3
"62f415d64551fac0a98c66defe70c4c5e7bcc74e",12,2.92105263157895,1,4,3
"675336a3da54d861542501f1e2b1279f7821f9c3",5,6.07142857142857,2,2,2
"678a8e2c72a4cf663c84645950c653c8b8225c50",1,6.1,1,1,1
"67d51b591acef59f7d5f5badac0d3b242b69939a",5,4.25,4,4,1
"68b4da651240532c001bd463ad5d117ba6c5588d",1,7.6,1,1,2
"6f4472bbc5925644d89371796f41c01c3618b7fb",3,15.4347826086957,1,3,2
"70297fc1ca7314d65159797ee58fc4678336bdfd",3,9.25,3,3,2
"740a9588c1a89a768604361a679c26e3d7e520ad",2,10.4736842105263,2,2,1
"75407812799261d17258f803b36ee9615ac04adc",9,3.97777777777778,1,2,3
"785f971b7a44f4e9ceaec9fecacf3d9605d40676",4,4.76666666666667,4,4,1
"78b06fa6fd86f1b4ec976f3f76baf91a8cada79b",2,12.0526315789474,2,2,3
"79e11068eedd4d20a54795dfedbb63404043c127",3,5.10344827586207,2,2,2
"7b32b6209e626394c742f7cc3dc60efe504f8d62",43,3.81751824817518,1,3,3
"7D202804-02C5-5B9B-9AE6-8E80913C47C5",2,NA,2,2,2
"7e875eb0e427696a10dd50c734b29ba13127fd4d",1,NA,1,1,3
"7f76dcef68207c21543e13015b578c90a428873b",1,9.4,1,1,2
"80f30ebd7d6757ab91f1e6b4b1a0aee068e41d27",2,20.9375,2,2,1
"813a9fcca15d073ca32e8215e95bdca308673fad",10,7.56122448979592,1,1,3
"8264f6e7b0c09b62a8487b23b12889daf510375a",1,7.5,1,1,3
"840fa035b03ec0ce2012df96299a72cdbb6a5a1c",1,10.9,1,1,2
"860058977cee00ad37f2a0a06ef2733f3edc0733",7,5.37142857142857,1,3,3
"87acf141ad92bd3c8dbeb8c6003199b7a3860360",1,8.2,1,1,2
"8c8687f8a4c2f254625cae64451909ed9377b924",6,5.86666666666667,1,2,3
"8d6adc1ad0717cc2c23913629422a71bd497be9d",2,6.8,1,2,3
"8e159d7a3dba73b9f9153d3b016997b9ce51554b",14,5.12878787878788,1,1,3
"92f70635de2a2ed5628268d9b386d5834f4e9cb2",1,15.4,1,1,1
"9353dea0653c2ab1cbd31e1b58cff12bb479c1e6",1,13.7,1,1,2
"93f8dc3160275978c999ab106df479e881dd0771",1,11.4,1,1,1
"947e2dcba7ca75696656a48c1a59220e5ca79ef9",16,3.98496240601504,1,16,3
